year,name,recipient,sub_sector,Total aid to health,Share of total ODA
2010,"DAC Countries, Total",All Developing Countries,Health,14.4,12.7%
2011,"DAC Countries, Total",All Developing Countries,Health,15.3,13.6%
2012,"DAC Countries, Total",All Developing Countries,Health,21.7,15.6%
2013,"DAC Countries, Total",All Developing Countries,Health,23.8,15.7%
2014,"DAC Countries, Total",All Developing Countries,Health,23.8,15.5%
2015,"DAC Countries, Total",All Developing Countries,Health,21.2,13.1%
2016,"DAC Countries, Total",All Developing Countries,Health,23.9,13.3%
2017,"DAC Countries, Total",All Developing Countries,Health,24.9,13.7%
2018,"DAC Countries, Total",All Developing Countries,Health,24.3,13.7%
2019,"DAC Countries, Total",All Developing Countries,Health,21.7,12.3%
2020,"DAC Countries, Total",All Developing Countries,Health,28.2,15.0%
2021,"DAC Countries, Total",All Developing Countries,Health,37.4,18.6%
2022,"DAC Countries, Total",All Developing Countries,Health,36.8,15.3%
2023,"DAC Countries, Total",All Developing Countries,Health,24.8,9.9%
2024,"DAC Countries, Total",All Developing Countries,Health,27.3,11.7%
